TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
Días del cielo,1978,94,Drama,Terrence Malick,Terrence Malick,Richard Gere,Estados Unidos,7.3,8644
Días extraños,1995,139,Ciencia ficción,Kathryn Bigelow,Kathryn Bigelow,Clint Eastwood,Estados Unidos,6.7,20599
Días salvajes,1990,95,Drama,Wong Kar-Wai,Wong Kar-Wai,Leslie Cheung,Hong Kong,7.0,3741
E.T. el extraterrestre,1982,115,Ciencia ficción,Steven Spielberg,Steven Spielberg,Henry Thomas,Estados Unidos,7.5,154757
Eclipse total (Dolores Claiborne),1995,131,Intriga,Taylor Hackford,Taylor Hackford,Kathy Bates,Estados Unidos,6.9,7472
Ed Wood,1994,124,Comedia,Tim Burton,Tim Burton,Johnny Depp,Estados Unidos,7.5,45196
Eddie el Águila,2016,101,Comedia,Dexter Fletcher,Dexter Fletcher,Taron Egerton,Reino Unido,6.4,3856
Eden Lake,2008,91,Terror,James Watkins,James Watkins,Kelly Reilly,Reino Unido,6.2,13730
Eden: Lost in Music,2014,131,Drama,Mia Hansen-Løve,Mia Hansen-Løve,Félix De Givry,Francia,6.2,1595
Eduardo Manostijeras,1990,98,Fantástico,Tim Burton,Tim Burton,Johnny Depp,Estados Unidos,7.7,119477
Educación siberiana,2013,110,Drama,Gabriele Salvatores,Gabriele Salvatores,John Malkovich,Italia,6.0,2091
Educando a Rita,1983,110,Romance,Lewis Gilbert,Lewis Gilbert,Michael Caine,Reino Unido,6.6,1608
Edén al oeste,2009,110,Drama,Costa-Gavras,Costa-Gavras,Riccardo Scamarcio,Francia,6.3,1236
Efectos secundarios,2013,105,Thriller,Steven Soderbergh,Steven Soderbergh,Colin Farrell,Estados Unidos,6.2,21371
Eighth Grade,2018,93,Comedia,Bo Burnham,Bo Burnham,Elsie Fisher,Estados Unidos,6.5,3692
Ejecución inminente,1999,127,Intriga,Clint Eastwood,Clint Eastwood,Judi Dench,Reino Unido,6.7,16438
El 7º día,2004,106,Drama,Carlos Saura,Carlos Saura,Yohana Cobo,España,6.3,6385
El Cairo confidencial,2017,106,Thriller,Tarik Saleh,Tarik Saleh,Fares Fares,Suecia,6.4,4252
El Camino: Una película de Breaking Bad,2019,122,Thriller,Vince Gilligan,Vince Gilligan,Ewan McGregor,Reino Unido,6.2,18596
El Capitán,2017,118,Bélico,Robert Schwentke,Robert Schwentke,Max Hubacher,Alemania,6.7,5620
El Escuadrón Suicida,2021,132,Acción,James Gunn,James Gunn,Idris Elba,Estados Unidos,6.3,17749
El Francotirador,2014,132,Bélico,Clint Eastwood,Clint Eastwood,Bradley Cooper,Estados Unidos,6.4,47242
El General,1998,124,Drama,John Boorman,John Boorman,Brendan Gleeson,Reino Unido,6.9,3096
El Gordo y el Flaco (Stan & Ollie),2018,97,Drama,Jon S. Baird,Jon S. Baird,John C. Reilly,Reino Unido,6.5,4151
El Gran Hotel Budapest,2014,99,Comedia,Wes Anderson,Wes Anderson,Ralph Fiennes,Estados Unidos,7.3,71835
El Halcón Inglés,1999,91,Thriller,Steven Soderbergh,Steven Soderbergh,Terence Stamp,Estados Unidos,6.1,1830
El Havre,2011,93,Comedia,Aki Kaurismäki,Aki Kaurismäki,André Wilms,Finlandia,6.9,10469
El Hobbit: La batalla de los cinco ejércitos,2014,144,Fantástico,Peter Jackson,Peter Jackson,Martin Freeman,Nueva Zelanda,6.3,48090
El Hobbit: La desolación de Smaug,2013,160,Fantástico,Peter Jackson,Peter Jackson,Martin Freeman,Nueva Zelanda,6.7,64077
El Hobbit: Un viaje inesperado,2012,170,Fantástico,Peter Jackson,Peter Jackson,Martin Freeman,Nueva Zelanda,7.0,84633
El Lobo,2004,123,Thriller,Miguel Courtois,Miguel Courtois,Eduardo Noriega,España,6.6,27791
El Lute II: Mañana seré libre,1988,120,Drama,Vicente Aranda,Vicente Aranda,Imanol Arias,España,5.9,3036
El Lute: Camina o revienta,1987,115,Drama,Vicente Aranda,Vicente Aranda,Imanol Arias,España,6.5,6489
El Mono de Hierro,1993,96,Acción,Yuen Woo-Ping,Yuen Woo-Ping,Yu Rongguang,Hong Kong,6.3,1110
El Narco (El infierno),2010,150,Drama,Luis Estrada,Luis Estrada,Damián Alcázar,México,7.3,7059
El Niño,2014,135,Thriller,Daniel Monzón,Daniel Monzón,Jesús Castro,España,6.1,36089
El Perfume. Historia de un asesino,2006,147,Thriller,Tom Tykwer,Tom Tykwer,Ben Whishaw,Alemania,6.7,59652
El Polaquito,2003,92,Drama,Juan Carlos Desanzo,Juan Carlos Desanzo,Abel Ayala,Argentina,6.8,2063
El Principito,2015,106,Animación,Mark Osborne,Mark Osborne, ,Francia,7.1,6252
El Reino,2018,131,Thriller,Rodrigo Sorogoyen,Rodrigo Sorogoyen,Antonio de la Torre,España,7.3,29775
El Skylab,2011,109,Comedia,Julie Delpy,Julie Delpy,Lou Álvarez,Francia,5.9,1608
El Sr. Henri comparte piso,2015,95,Comedia,Ivan Calbérac,Ivan Calbérac,Claude Brasseur,Francia,5.8,2154
El Sur,1983,93,Drama,Víctor Erice,Víctor Erice,Omero Antonutti,España,7.7,15108
El abrazo de la serpiente,2015,125,Aventuras,Ciro Guerra,Ciro Guerra,Nilbio Torres,Colombia,7.3,5987
El abrazo partido,2003,100,Comedia,Daniel Burman,Daniel Burman,Daniel Hendler,Argentina,6.7,5916
El abuelo,1998,140,Drama,José Luis Garci,José Luis Garci,Fernando Fernán Gómez,España,6.9,12583
El abuelo que saltó por la ventana y se largó,2013,114,Comedia,Felix Herngren,Felix Herngren,Robert Gustafsson,Suecia,5.9,7211
El aceite de la vida,1992,135,Drama,George Miller,George Miller,Nick Nolte,Estados Unidos,6.7,9450
El acontecimiento,2021,100,Drama,Audrey Diwan,Audrey Diwan,Anamaria Vartolomei,Francia,7.1,2962
El acusado,2021,138,Drama,Yvan Attal,Yvan Attal,Ben Attal,Francia,7.1,1916
El adversario,2002,129,Thriller,Nicole García,Nicole García,Daniel Auteuil,Francia,6.4,1275
El aficionado (Amator),1979,112,Drama,Krzysztof Kieślowski,Krzysztof Kieślowski,Jerzy Stuhr,Polonia,7.3,1184
El agua,2022,104,Drama,Elena López Riera,Elena López Riera,Luna Pamiés,España,6.0,3109
El almuerzo desnudo,1991,115,Intriga,David Cronenberg,David Cronenberg,Peter Weller,Canadá,6.5,7326
El amanecer del planeta de los simios,2014,130,Ciencia ficción,Matt Reeves,Matt Reeves,Jason Clarke,Estados Unidos,6.6,46624
El amante,1992,115,Drama,Jean-Jacques Annaud,Jean-Jacques Annaud,Jane March,Francia,6.5,5200
El amante de Lady Chatterley,2022,103,Drama,Laure de Clermont-Tonnerre,Laure de Clermont-Tonnerre,Jesse Eisenberg,Noruega,6.1,1553
El amante del amor,1977,114,Comedia,François Truffaut,François Truffaut,Charles Denner,Francia,7.2,1890
El americano impasible,2002,96,Intriga,Phillip Noyce,Phillip Noyce,Michael Caine,Estados Unidos,6.4,8560
El amigo americano,1977,121,Thriller,Wim Wenders,Wim Wenders,Bruno Ganz,Alemania del Oeste (RFA),7.2,9102
El amigo de mi amiga,1987,103,Romance,Éric Rohmer,Éric Rohmer,Emmanuelle Chaulet,Francia,7.1,1855
El amigo de mi hermana,2011,90,Romance,Lynn Shelton,Lynn Shelton,Matthew McConaughey,Estados Unidos,6.2,5814
El amor después del mediodía,1972,97,Romance,Éric Rohmer,Éric Rohmer,Bernard Verley,Francia,7.6,2990
El amor en su lugar,2021,103,Drama,Rodrigo Cortés,Rodrigo Cortés,Clara Rugaard,España,6.8,3821
El amor es lo que tiene,2005,107,Romance,Nigel Cole,Nigel Cole,Ashton Kutcher,Estados Unidos,6.0,8842
El amor es más fuerte que las bombas,2015,105,Drama,Joachim Trier,Joachim Trier,Ben Whishaw,Reino Unido,6.1,1724
El amor menos pensado,2018,136,Romance,Juan Vera,Juan Vera,Ricardo Darín,Argentina,6.2,2594
El amor tiene dos caras,1996,126,Romance,Barbra Streisand,Barbra Streisand,Barbra Streisand,Estados Unidos,5.8,6497
El anacoreta,1976,104,Comedia,Juan Estelrich,Juan Estelrich,Fernando Fernán Gómez,España,6.4,1173
El ansia,1983,92,Terror,Tony Scott,Tony Scott,Catherine Deneuve,Estados Unidos,6.3,5274
El arca rusa,2002,96,Drama,Aleksandr Sokúrov,Aleksandr Sokúrov,Sergei Dreiden,Rusia,7.1,4438
El arco,2005,90,Drama,Kim Ki-duk,Kim Ki-duk,Jeon Seong-hwan,Corea del Sur,7.0,5060
El arma del engaño,2021,128,Bélico,John Madden,John Madden,Colin Firth,Reino Unido,5.9,2234
El arte de estrangular (Art School Confidential),2006,102,Comedia,Terry Zwigoff,Terry Zwigoff,Max Minghella,Estados Unidos,6.0,1656
El arte de vivir bajo la lluvia,2019,109,Comedia,Simon Curtis,Simon Curtis,Milo Ventimiglia,Estados Unidos,6.4,1493
El artista y la modelo,2012,104,Drama,Fernando Trueba,Fernando Trueba,Jean Rochefort,España,6.2,4348
El ascenso,2017,103,Aventuras,Ludovic Bernard,Ludovic Bernard,Ahmed Sylla,Francia,6.1,2465
El asedio de Jadotville,2016,108,Bélico,Richie Smyth,Richie Smyth,Shameik Moore,Estados Unidos,6.2,3607
El asesinato de Jesse James por el cobarde Robert Ford,2007,160,Western,Andrew Dominik,Andrew Dominik,Brad Pitt,Estados Unidos,6.5,25547
El asesinato de Richard Nixon,2004,95,Drama,Niels Mueller,Niels Mueller,Sean Penn,Estados Unidos,6.3,5825
El asesinato de un corredor de apuestas chino,1976,135,Drama,John Cassavetes,John Cassavetes,Ben Gazzara,Estados Unidos,6.9,2071
El asesino del nudo,2018,109,Thriller,Duncan Skiles,Duncan Skiles,Charlie Plummer,Estados Unidos,5.9,2002
El atlas de las nubes,2012,172,Ciencia ficción,Tom Tykwer,"Tom Tykwer,",Tom Hanks,Estados Unidos,6.4,27858
El aura,2005,138,Intriga,Fabián Bielinsky,Fabián Bielinsky,Ricardo Darín,Argentina,6.5,9384
El autor,2017,112,Drama,Manuel Martín Cuenca,Manuel Martín Cuenca,Javier Gutiérrez,España,6.4,16180
El aventurero de medianoche,1982,122,Drama,Clint Eastwood,Clint Eastwood,Clint Eastwood,Estados Unidos,6.9,2877
El aviador,2004,166,Drama,Martin Scorsese,Martin Scorsese,Leonardo DiCaprio,Estados Unidos,6.4,56795
El azar,1987,122,Drama,Krzysztof Kieślowski,Krzysztof Kieślowski,Boguslaw Linda,Polonia,7.1,1019
El año de las luces,1986,99,Comedia,Fernando Trueba,Fernando Trueba,Jorge Sanz,España,6.3,3778
El año más violento,2014,124,Thriller,J.C. Chandor,J.C. Chandor,Oscar Isaac,Estados Unidos,6.6,12915
El año que dejamos de jugar,2019,114,Drama,Caroline Link,Caroline Link,Riva Krymalowski,Alemania,6.3,1005
El año que mis padres se fueron de vacaciones,2006,104,Drama,Cao Hamburger,Cao Hamburger,Michel Joelsas,Brasil,6.4,1388
El año que vivimos peligrosamente,1982,115,Drama,Peter Weir,Peter Weir,Mel Gibson,Australia,6.9,14121
El bailarín,2018,127,Drama,Ralph Fiennes,Ralph Fiennes,Oleg Ivenko,Reino Unido,6.0,1345
El baile de la Victoria,2009,130,Drama,Fernando Trueba,Fernando Trueba,Ricardo Darín,España,5.9,5359
El baile de las locas,2021,121,Thriller,Mélanie Laurent,Mélanie Laurent,Lou de Laâge,Francia,6.3,1250
El banquero,2020,120,Drama,George Nolfi,George Nolfi,Samuel L. Jackson,Estados Unidos,6.5,1822
El banquero de la resistencia,2018,123,Drama,Joram Lürsen,Joram Lürsen,Ice Cube,Estados Unidos,5.8,1064
El banquete de boda,1993,112,Drama,Ang Lee,Ang Lee,Rose Kwei,Taiwán,7.1,4163
El bar de las grandes esperanzas,2021,104,Drama,George Clooney,George Clooney,Tye Sheridan,Estados Unidos,6.1,3561
El barbero de Siberia,1998,180,Comedia,Nikita Mikhalkov,Nikita Mikhalkov,Julia Ormond,Rusia,6.0,1266
El baño del Papa,2007,95,Drama,César Charlone,"César Charlone,",César Troncoso,Uruguay,7.1,2266
El becario,2015,121,Comedia,Nancy Meyers,Nancy Meyers,Robert De Niro,Estados Unidos,5.8,18942
El beso de la mujer araña,1985,119,Drama,Héctor Babenco,Héctor Babenco,William Hurt,Brasil,6.9,3662
El beso del dragón,2001,98,Acción,Chris Nahon,Chris Nahon,Jet Li,Estados Unidos,5.9,8235
El blues de Beale Street,2018,119,Romance,Barry Jenkins,Barry Jenkins,KiKi Layne,Estados Unidos,6.3,4357
El bonaerense,2002,97,Drama,Pablo Trapero,Pablo Trapero,Jorge Román,Argentina,6.6,1630
El borracho,1987,97,Drama,Barbet Schroeder,Barbet Schroeder,Mickey Rourke,Estados Unidos,6.4,3349
El bosque,2004,108,Intriga,M. Night Shyamalan,M. Night Shyamalan,Joaquin Phoenix,Estados Unidos,6.0,108536
El bosque animado,1987,108,Comedia,José Luis Cuerda,José Luis Cuerda,Alfredo Landa,España,7.4,11974
El bosque del luto,2007,97,Drama,Naomi Kawase,Naomi Kawase,Yoichiro Saito,Japón,6.3,1275
El buen ladrón,2002,104,Drama,Neil Jordan,Neil Jordan,Keira Knightley,Reino Unido,6.2,2644
El buen maestro,2017,106,Comedia,Olivier Ayache-Vidal,Olivier Ayache-Vidal,Denis Podalydès,Francia,6.1,2248
El buen nombre,2006,122,Drama,Mira Nair,Mira Nair,Kal Penn,Estados Unidos,6.6,1342
El buen pastor,2006,160,Drama,Robert De Niro,Robert De Niro,Matt Damon,Estados Unidos,6.4,16596
El buen patrón,2021,120,Comedia,Fernando León de Aranoa,Fernando León de Aranoa,Javier Bardem,España,7.2,21657
"El bueno, el malo y el raro",2008,136,Western,Kim Jee-woon,Kim Jee-woon,Lee Byung-hun,Corea del Sur,6.4,4285
El caballero oscuro,2008,152,Thriller,Christopher Nolan,Christopher Nolan,Christian Bale,Estados Unidos,8.1,153745
El caballero oscuro: La leyenda renace,2012,164,Thriller,Christopher Nolan,Christopher Nolan,Christian Bale,Estados Unidos,7.5,99531
El caballero verde,2021,130,Fantástico,David Lowery,David Lowery,Dev Patel,Estados Unidos,6.0,9043
El caballo de Turín,2011,146,Drama,Béla Tarr,"Béla Tarr,",János Derzsi,Hungría,7.2,4676
El cabo del miedo,1991,130,Thriller,Martin Scorsese,Martin Scorsese,Chiwetel Ejiofor,Estados Unidos,7.3,57199
El caimán,2006,122,Comedia,Nanni Moretti,Nanni Moretti,Silvio Orlando,Italia,6.4,1061
El callejón de las almas perdidas,2021,150,Cine negro,Guillermo del Toro,Guillermo del Toro,Bradley Cooper,Estados Unidos,6.4,13473
El callejón de los milagros,1994,144,Drama,Jorge Fons,Jorge Fons,Salma Hayek,México,7.0,1064
El camino,2010,120,Drama,Emilio Estévez,Emilio Estévez,Martin Sheen,España,6.0,4659
El camino,1982,114,Drama,Yilmaz Güney,"Yilmaz Güney,",Tarik Akan,Turquía,7.2,1091
El camino de San Diego,2006,98,Drama,Carlos Sorin,Carlos Sorin,Ignacio Benítez,Argentina,6.6,1460
El camino de vuelta,2013,103,Comedia,Nat Faxon,"Nat Faxon,",Liam James,Estados Unidos,6.3,5401
El candidato,1972,109,Drama,Michael Ritchie,Michael Ritchie,Robert Redford,Estados Unidos,6.4,1839
El canto del cisne,2021,112,Ciencia ficción,Benjamin Cleary,Benjamin Cleary,Mahershala Ali,Estados Unidos,6.2,1725
El canto del lobo,2019,115,Drama,Antonin Baudry,Antonin Baudry,Jamie Dornan,Irlanda,6.2,3318
El capital,2012,114,Drama,Costa-Gavras,Costa-Gavras,Gad Elmaleh,Francia,6.3,6193
El capital humano,2013,109,Drama,Paolo Virzì,Paolo Virzì,Valeria Bruni Tedeschi,Italia,6.8,5440
El cartero (y Pablo Neruda),1994,115,Comedia,Michael Radford,Michael Radford,Philippe Noiret,Italia,7.4,27103
El cartero siempre llama dos veces,1981,123,Cine negro,Bob Rafelson,Bob Rafelson,Marion Cotillard,Bélgica,6.8,11883
El caso Almería,1984,110,Thriller,Pedro Costa,Pedro Costa,Agustín González,España,6.3,1517
El caso Bourne,2002,113,Acción,Doug Liman,Doug Liman,Matt Damon,Estados Unidos,7.2,107019
El caso Collini,2019,123,Drama,Marco Kreuzpaintner,Marco Kreuzpaintner,Elyas M'Barek,Alemania,6.4,1469
El caso Farewell,2009,112,Thriller,Christian Carion,Christian Carion,Emir Kusturica,Francia,6.3,4268
El caso Fischer,2014,114,Drama,Edward Zwick,Edward Zwick,Tobey Maguire,Estados Unidos,6.2,5814
El caso Fritz Bauer,2015,105,Drama,Lars Kraume,Lars Kraume,Burghart Klaußner,Alemania,6.3,2078
El caso Slevin,2006,104,Thriller,Paul McGuigan,Paul McGuigan,Josh Hartnett,Estados Unidos,7.3,58838
El caso Sloane,2016,132,Drama,John Madden,John Madden,Jessica Chastain,Estados Unidos,7.0,12877
El caso Winslow,1999,110,Drama,David Mamet,David Mamet,Mick Lally,Irlanda,6.8,2334
El caso sk1,2014,120,Thriller,Frédéric Tellier,Frédéric Tellier,Raphaël Personnaz,Francia,5.9,1879
El castañazo,1977,122,Comedia,George Roy Hill,George Roy Hill,Paul Newman,Estados Unidos,6.5,5455
El castillo ambulante,2004,119,Animación,Hayao Miyazaki,Hayao Miyazaki, ,Japón,7.8,59496
El castillo de cristal,2017,127,Drama,Destin Cretton,Destin Cretton,Brie Larson,Estados Unidos,6.5,3764
El castillo en el cielo,1986,124,Animación,Hayao Miyazaki,Hayao Miyazaki, ,Japón,7.5,15523
El catador de venenos (Love and Honor),2006,122,Drama,Yôji Yamada,Yôji Yamada,Takuya Kimura,Japón,7.3,1576
El cazador,1978,183,Drama,Michael Cimino,Michael Cimino,Robert De Niro,Estados Unidos,8.0,49908
El cazador (The Rover),2014,103,Thriller,David Michôd,David Michôd,Guy Pearce,Australia,5.8,2176
El chip prodigioso,1987,120,Ciencia ficción,Joe Dante,Joe Dante,Dennis Quaid,Estados Unidos,6.3,20691
El cielo abierto,2001,102,Comedia,Miguel Albaladejo,Miguel Albaladejo,Sergi López,España,6.6,3584
El cielo protector,1990,133,Drama,Bernardo Bertolucci,Bernardo Bertolucci,Debra Winger,Reino Unido,6.5,4100
El cielo puede esperar,1978,100,Comedia,Warren Beatty,"Warren Beatty,",Warren Beatty,Estados Unidos,6.1,4261
El cielo sobre Berlín,1987,128,Drama,Wim Wenders,Wim Wenders,Robert De Niro,Estados Unidos,7.3,15177
El cielo y la tierra,1993,140,Drama,Oliver Stone,Oliver Stone,Hiep Thi Le,Estados Unidos,6.3,2732
El ciudadano ilustre,2016,118,Drama,Mariano Cohn,"Mariano Cohn,",Oscar Martínez,Argentina,7.1,12020
El clan,2015,110,Thriller,Pablo Trapero,Pablo Trapero,Guillermo Francella,Argentina,6.7,11053
El clan de los irlandeses,1990,134,Thriller,Phil Joanou,Phil Joanou,Sean Penn,Estados Unidos,7.0,11948
El cliente,1994,116,Intriga,Joel Schumacher,Joel Schumacher,Brad Renfro,Estados Unidos,6.5,28412
El club,2015,98,Drama,Pablo Larraín,Pablo Larraín,Roberto Farias,Chile,7.1,10993
El club de la buena estrella,1993,138,Drama,Wayne Wang,Wayne Wang,Tsai Chin,Estados Unidos,6.9,1795
El club de la lucha,1999,139,Drama,David Fincher,David Fincher,Edward Norton,Estados Unidos,8.1,186875
El club de los cinco,1985,100,Comedia,John Hughes,John Hughes,James Franco,Estados Unidos,6.8,24363
El club de los emperadores,2002,107,Drama,Michael Hoffman,Michael Hoffman,Kevin Kline,Estados Unidos,6.2,4401
El club de los poetas muertos,1989,124,Drama,Peter Weir,Peter Weir,Robin Williams,Estados Unidos,7.6,117671
El club del odio,2022,91,Intriga,Beth de Araújo,Beth de Araújo,Stefanie Estes,Estados Unidos,6.1,2434
"El cocinero, el ladrón, su mujer y su amante",1989,123,Drama,Peter Greenaway,Peter Greenaway,Richard Bohringer,Reino Unido,7.0,6648
El coleccionista de amantes,1997,115,Thriller,Gary Fleder,Gary Fleder,Tom Hanks,Estados Unidos,6.1,39127
El coleccionista de huesos,1999,115,Intriga,Phillip Noyce,Phillip Noyce,Denzel Washington,Estados Unidos,6.3,32844
El color del dinero,1986,117,Drama,Martin Scorsese,Martin Scorsese,Paul Newman,Estados Unidos,7.0,35513
El color púrpura,1985,147,Drama,Steven Spielberg,Steven Spielberg,Danny Glover,Estados Unidos,7.4,22765
El coloso en llamas,1974,165,Acción,John Guillermin,"John Guillermin,",Steve McQueen,Estados Unidos,6.8,16736
El concierto,2009,118,Comedia,Radu Mihaileanu,Radu Mihaileanu,Aleksei Guskov,Francia,7.0,11294
El congreso,2013,118,Ciencia ficción,Ari Folman,Ari Folman,Sidney Flanigan,Estados Unidos,6.7,5871
El contable,2016,128,Thriller,Gavin O'Connor,Gavin O'Connor,Javier Bardem,España,6.1,14843
El contador de cartas,2021,112,Drama,Paul Schrader,Paul Schrader,Bryan Cranston,Estados Unidos,6.2,6523
El contrato del dibujante,1982,103,Intriga,Peter Greenaway,Peter Greenaway,Anthony Higgins,Reino Unido,6.8,2088
El corazón del ángel,1987,113,Intriga,Alan Parker,Alan Parker,Mickey Rourke,Estados Unidos,7.1,21500
El corcel negro,1979,118,Drama,Carroll Ballard,Carroll Ballard,Kelly Reno,Estados Unidos,6.2,1239
El coro,2014,106,Drama,François Girard,François Girard,Tristán Ulloa,España,5.8,1755
El coronel no tiene quien le escriba,1999,118,Drama,Arturo Ripstein,Arturo Ripstein,Fernando Luján,México,6.3,1645
El corredor de la muerte,1996,91,Drama,Tim Metcalfe,Tim Metcalfe,James Woods,Estados Unidos,6.0,1115
El corredor del laberinto,2014,113,Ciencia ficción,Wes Ball,Wes Ball,Dylan O'Brien,Estados Unidos,5.9,33947
El crack,1981,119,Intriga,José Luis Garci,José Luis Garci,Alfredo Landa,España,7.3,10853
El crack Cero,2019,122,Cine negro,José Luis Garci,José Luis Garci,Carlos Santos,España,6.5,4192
El crack Dos,1983,120,Intriga,José Luis Garci,José Luis Garci,Alfredo Landa,España,6.8,4630
El crimen de Cuenca,1980,92,Drama,Pilar Miró,Pilar Miró,Amparo Soler Leal,España,7.1,7162
El crimen del padre Amaro,2002,118,Drama,Carlos Carrera,Carlos Carrera,Gael García Bernal,México,6.2,11822
El crisol,1996,123,Drama,Nicholas Hytner,Nicholas Hytner,Daniel Day-Lewis,Estados Unidos,6.2,4962
El cuarteto,2012,95,Comedia,Dustin Hoffman,Dustin Hoffman,Maggie Smith,Reino Unido,6.0,3041
El cuarto hombre,1983,102,Thriller,Paul Verhoeven,Paul Verhoeven,Jeroen Krabbé,Países Bajos (Holanda),6.7,1724
El cuarto protocolo,1987,119,Intriga,John Mackenzie,John Mackenzie,Pierce Brosnan,Reino Unido,6.4,4593
El cuento de la princesa Kaguya,2013,137,Animación,Isao Takahata,Isao Takahata, ,Japón,7.6,9059
El cuento de las comadrejas,2019,129,Comedia,Juan José Campanella,Juan José Campanella,Graciela Borges,Argentina,6.8,4780
El cuerpo,2012,107,Thriller,Oriol Paulo,Oriol Paulo,Hugo Silva,España,6.5,26818
El cuervo,1994,97,Fantástico,Alex Proyas,Alex Proyas,Brandon Lee,Estados Unidos,7.0,50062
El curioso caso de Benjamin Button,2008,167,Fantástico,David Fincher,David Fincher,Brad Pitt,Estados Unidos,7.2,123117
El círculo,2000,90,Drama,Jafar Panahi,Jafar Panahi,Fereshteh Sadr Orafai,Irán,7.0,1577
El declive del imperio americano,1986,101,Comedia,Denys Arcand,Denys Arcand,Dominique Michel,Canadá,6.7,3762
El delirante mundo de los Feebles,1989,94,Comedia,Peter Jackson,Peter Jackson, ,Nueva Zelanda,6.4,3073
El demonio vestido de azul,1995,102,Cine negro,Carl Franklin,Carl Franklin,Denzel Washington,Estados Unidos,5.9,4549
El desafío (The Walk),2015,116,Drama,Robert Zemeckis,Robert Zemeckis,Joseph Gordon-Levitt,Estados Unidos,6.3,16492
El desafío: Frost contra Nixon,2008,122,Drama,Ron Howard,Ron Howard,Frank Langella,Estados Unidos,7.0,16481
El desconocido,2015,91,Thriller,Dani de la Torre,Dani de la Torre,Luis Tosar,España,6.3,24037
